Leg. Dist. 07,,,,,,
"",1,540,287,49,0,204
"",2,368,237,26,0,105
Leg. Dist. 07,,908,524,75,0,309
Leg. Dist. 16,,,,,,
"",1,8,7,0,0,1
Leg. Dist. 16,,8,7,0,0,1
Leg. Dist. 21,,,,,,
"",7,554,399,36,4,115
"",8,183,133,11,1,38
"",20,209,151,26,2,30
"",24,501,320,52,2,127
Leg. Dist. 21,,"1,447","1,003",125,9,310
Leg. Dist. 23,,,,,,
"",12,416,288,28,1,99
"",16,182,112,21,0,49
"",18,689,443,61,3,182
"",19,402,252,55,3,92
"",22,312,223,15,1,73
"",24,358,236,29,2,91
"",25,491,337,52,1,101
"",26,578,377,60,2,139
"",27,267,167,27,0,73
Leg. Dist. 23,,"3,695","2,435",348,13,899
Leg. Dist. 26,,,,,,
"",1,580,352,52,0,176
"",2,255,154,27,0,74
"",3,175,96,22,0,57
"",4,313,165,39,2,107
"",5,329,218,24,0,87
"",6,289,201,17,0,71
"",7,381,256,24,0,101
"",8,354,251,25,0,78
"",9,380,245,37,2,96
"",10,395,262,31,4,98
"",11,318,180,29,0,109
"",12,342,188,39,0,115
"",13,363,208,34,2,119
"",14,383,234,34,0,115
"",15,341,232,23,0,86
"",16,324,182,39,1,102
Leg. Dist. 26,,,,,,
"",17,285,157,27,2,99
Leg. Dist. 26,,"5,807","3,581",523,13,"1,690"
Leg. Dist. 28,,,,,,
"",1,355,256,20,1,78
"",2,232,168,14,1,49
"",4,220,138,7,1,74
"",5,205,134,15,1,55
"",6,444,322,25,1,96
"",7,559,374,45,1,139
"",9,352,241,27,2,82
"",16,289,185,17,1,86
"",18,314,234,14,0,66
"",20,453,303,36,4,110
"",21,404,309,23,0,72
Leg. Dist. 28,,"3,827","2,664",243,13,907
Leg. Dist. 29,,,,,,
"",8,104,81,8,0,15
"",17,233,155,15,1,62
"",18,317,214,27,1,75
"",21,395,293,35,0,67
"",22,170,124,1,1,44
"",23,302,184,16,0,102
Leg. Dist. 29,,"1,521","1,051",102,3,365
CITY,,"17,213","11,265","1,416",51,"4,481"
Brighton,,,,,,
"",1,507,370,47,1,89
"",2,324,198,35,1,90
"",3,431,262,31,0,138
"",4,431,307,32,1,91
"",5,436,326,21,3,86
"",6,593,394,45,0,154
"",7,389,250,30,0,109
"",8,450,276,34,1,139
"",9,401,267,31,2,101
"",10,484,359,31,2,92
"",11,520,316,51,4,149
"",12,546,384,39,2,121
"",13,293,195,22,0,76
"",14,366,266,30,3,67
"",15,373,230,36,1,106
